"id","cd","top","bottom","name","meaning"
1,"777777",nebe,nebe,tvoření,"Jste na cestě k celkovému úspěchu v souladu s nebem. Je však důležité,  abyste  se  nenechali  rozptýlit. Prokažte svou předvídavost. Šlechetný člověk je ve svém úsilí neúnavný. Štěstí a energie."
2,"888888",země,země,odevzdanost,"Nejste v nezávislém postavení. Také byste neměli podnikat nebo se snažit řídit, nýbrž byste se měli přizpůsobit okolnostem a nechat se vést. Zůstanete-li poddajní, dosáhnete úspěchu. Mírnost s vytrvalostí přinesou štěstí a zisk."
3,"788878",voda,hrom,počáteční nesnáz,"Jste ve stavu duchovního nebo citového zmatku a nejste schopni se v něm vyznat. Uvědomte si, že tyto pocity jsou důsledkem právě se rozvíjející síli. Všechno musí být ztvárněno, musí si najít své místo. Doba rození a růstu není nikdy jednoduchá a snadná. Současná situace je bohatá na možnosti, pochopíte její smysl a využijete ji, budete-li jednat klidně, nevzrušeně a obklopíte-li se osobami, které mají stejné sklony."
4,"878887",hora,voda,zrání,"Zrání je nezralost. Určitě budete jednat poněkud nerozvážně. Nepřinese to výčitky, jste-li  si vědomi svých slabostí a vyhledáte-li radu moudrého člověka. Je třeba hledat zkušeného učitele. On vás hledat nebude. Je možný jiný výklad: není dobré dávat rady někomu, kdo o to nestojí. Je lépe počkat,až přijde sám. Když přijde poprvé, poučím ho, přijde-li zase, potřetí, přestanu. Neboť k úspěchu je třeba trpělivosti. Nic nelze uspěchat, nic nelze přeskočit."
5,"777878",voda,nebe,čekání,"Tento hexagram se vykládá ve dvou úrovních. Nejprve znamená - pokud se chystá nějaká událost, je zbytečné se snažit uspíšit její příchod. Všechno má svůj čas. Není nutné zasahovat, je třeba na její chvíli počkat. Vytrvalost přináší štěstí! Poté vám oznamuje přítomnost nebezpečí nezávislého na vaší vůli, před nímž se musíte zastavit, abyste mu pohlédli do tváře, předvídavě, aniž byste si dělali iluze. Až ho skutečně poznáte, můžete mu čelit s vyhrajete. Je nutné mít trpělivost s sebedůvěru, potom zvládnete i velké riziko."
6,"878777",nebe,voda,konflikt,"Třebaže jste si svým právem  jisti, jste čelem k silnému protikladu způsobujícímu střetnutí, které jste v pokušení vyžešit násilím. Nebezpečí. Bez zbytečného riskování lze přežít i to, co na první pohled vypadá neřešitelně. Vězte, že zacházet do krajnosti vám nijak nepomůže. Vyvolávalo by to neustále nové konflikty. Zajímejte se spíše  o názor někoho nestranného. Šlechetný člověk při práci dlouho zvažuje svůj první krok. Není příhodná chvíle chtít překročit velkou řeku."
7,"878888",země,voda,vojsko,"Tento hexagram vyjadřuje vojsko jako sílu, která potřebuje zkušeného velitele, aby účinně působila. Oznamuje vám, že svým způsobem musíte být velitelem, generálem. Ale aby se vám to podařilo, potřebujete  důvěru vašich oddílů  a nesmíte nic opomenout, abyste si ji zasloužili. Situace vůdce, velitele je totiž zranitelná, třebaže se to nezdá."
8,"888878",voda,země,spojení,"Každý je součástí proudu.  Obecným významem je, že člověk potřebuje druhé, aby se plně realizoval. Tato myšlenka má dvojí význam. Buď oznamuje, že osoba má hrát ústřední roli ( pokud se to týká vás, musíte vrhnout I-ťing podruhé, abyste věděli, máte-li nezbytnou vnitřní sílu pro takovou odpovědnost ), nebo vám dává vědět, že pro úspěch ve vašem podnikání potřebujete druhé a musíte využít společných zkušeností. Buď budete tím, kolem něhož se ostatní budou združovat, nebo se připojíte k druhým."
9,"777877",vítr,nebe,vláda slabého,"Malý má úspěch podrobí-li se. Jste bezmocní, chcete-li, aby se události vyvíjeli podle vašeho přání. Zatím nemáte potřebnou sílu, abyste začali rozsáhlou činnost. můžete ovlivňovat spíše laskavosí a vnuknutím, než vymáháním."
10,"778777",nebe,jezero,vykročení,"Chůze i nevhodné jednání. Vstoupit na ocas tygra a on ho nekousne. Význam tohoto hexagramu je prostý. Slabší obstojí ve střetu se silnějším, najde-li k němu vhodný přístup. Musíte postupovat  s ohledem  na opravidla  společnosti, ve které pobýváte. Vhodným chováním se dají zdárně vyřešit i situace na první pohled beznadějné. I když se stýkáte s nepříjemnými lidmi, vaše laskavé chování a respekt vás ochrání od všeho nebezpečí."
11,"777888",země,nebe,mír,"Malé odchází, velké přichází. Je to štěstí, je to prosperita. Nacházíte se v období plném harmonie, v souladu s vámi a se světem, který vás obklopuje. Naučte se využít toho okamžiku. Rovnováha mezi nebem a zemí, šťastné a příznivé znamení. Svornost a smír, všechno má místo a čas, jenž jim náleží."
12,"888777",nebe,země,nehybnost,"Kolem vás vládne nedůvěra a přísnost, někteří se vás pokoušejí zmýlit. Za takových okolností nenaslouchejte nabídkám z okolí, třebaže jsou lákavé. Šetřte síly a vyhýbejte se nasnázím. Malí a nízcí stoupají vzhůru. Zůstaňte v ústraní a nepodílejte se na špatných činech. Velké odchází, přichází malé. Zůstaňte však věrni svým dlouhodobým cílům. I kdybyste měli načas ustoupit do ústraní, protože doba není vhodná pro plodné jednání."
13,"787777",nebe,oheň,společenství,"Žijete v období, které je obzvláště významné ve společenské oblasti. Vaše činy jsou spojeny s činy a zájmy ostatních. Pociťujete nutnost sdružovat své zájmy a svou energii. To je základem jakéhokoli harmonického společenství. Je však nezbytné aby váš cíl byl jasný, nezištný. Skupina, k níž patříte, náležíte, by měla získat zkušeného vůdce, který je dost silný, aby vašemu společenství dal řád a pořádek."
14,"777787",oheň,nebe,bohatství,"U I-ťingu spočívá největší síla v pokoře. Skromnost sluší vládci. Tento hexagram oznamuje, že jste dosáhli úspěchu díky své dobrotě, oproštěné od sobectví. Šťastně sklízíte, co jste zasili. Nastal příhodný  okamžik. Jste svobodni v  jednání a vaše vlastnosti jsou uznány většinou. Šťastný člověk potlačuje zlo a podporuje dobro tak, jak si to žádá nebe."
15,"887888",země,hora,skromnost,"Tento hexagram je velmi příznivý. Říká, že pokud jste skromní a chováte se nenuceně, vaše postavení se zlepší. Nesete-li již významnou odpovědnost a zůstáváte-li pokorní, uspějete. Každý bude s tímto úspěchem souhlasit, neboť zákonem nebe je naplňovat prázdné. Ušlechtilý člověk své dílo dokončí. Ubírá tam, kde je mnoho a přidává tam, kde je nedostatek."
16,"888788",hrom,země,nadšení,"Vášeň, která vás ovládá, sdílíte s ostatními. Všichni vás s nadšením sledují. Nikdo vás nezradí. Nemusíte se bát rozdat pravomoci pomocníkům a táhnout do boje."
17,"788778",jezero,hrom,následek,"Je dvojího smyslu. Pokud si přejete být následováni, silou nezískáte nic, pouze snášenlivým a vřelým chováním. Jste-li však nuceni někoho následovat, nenechte se stáhnou do neovladatelného pohybu a nechte si čas pro přemýšlení a odpočinek. Respektujte aspekt času. Ve dne pracujte a večer se vraťte domů, abyste si odpočinuli."
18,"877887",hora,vítr,rozklad,"Situace je naprosto uzavřená. Berte to s největší vážností jako výzvu, protože jinak by bylo lepší se do ničeho nepouštět. Bezpochyby je to vaše vina. Byli jste příliš slabí, ochablí nebo jste neuměli využát nezbytných prostředků k zabránění rozkladu. Zkaženost je plodem lhostejnosti a lenosti. Před vámi je významný úkol. Nejdříve přemýšlet a analyzovat minulé, až poznáte skutečné příčiny současného rozkladu. Potom se musíte snažit, nejprve u sebe a poté u ostatních, o očistu a zdokonalení. Náprava vyžaduje důraznost i oběti. Ve snaze o nápravu věcí je třeba podstoupit riziko a přejít velkou řeku, protože nic jiného nezbývá."
19,"778888",země,jezero,vzestup,"Tato věštba je příznivá. Ukazuje, že postupujete, že se vaše situace zlepšuje a že směřujete k velkým odpovědnostem. Zároveň nesmíte zapomenout, že po každém vzestupu následuje pokles. Když na něj budete připraveni, bez úhony překlenete nevyhnutelné těžkosti. Sbližování vyšších s nižšími má blahodárné výsledky, nic však netrvá věčně a v určité chvíli může nastat krize."
20,"888877",vítr,země,pozorování,"Ten, kdo se vystavuje na obdiv druhým a povyšuje se na vzor, toho musí být hoden. Proto musí umět pozorovat bez přímé účasti na událostech. Využijte tohoto času k meditaci, pak budete poctěn důvěrou."
21,"788787",oheň,hrom,kousnutí,"Překážka rozhodně musí být odstraněna, dříve než způsobí trvalé škody. Je zde otázka nutného spravedlivého trestu, který má obnovit pořádek. Jen rázný čin přinese úspěch. Osoba jedná zrádně. Aby se zabránilo zmatkům a roztržce, je třeba neústupně zasáhnout, energicky, ovšem bez násilí, spravedlivě a nestranně. Trest by měl překážku nejen odstranit, ale také jiné odstrašit."
22,"787887",hora,oheň,půvab,"Tento hexagram zobrazuje krásu provázenou klidem. Elegance. Příjemnost. Nacházíte se v příjemném postavení, stranou od životních úskalí. Daleko od zápasů a bojů. Okolo vás vládne harmonie, vaše podnikání je příznivé. Tento půvab je však zdánlivý. Je formální, chybí mu základ. Půvab přináší úspěch, který se však netýká podstaty. Jeho lvýznam je proto omezen. Nelze dosáhnout velkých činů. Je dobré podniknout něco v malém. Tato předpověď je jinak významná v oblasti umělecké a tvůrčí."
23,"888887",hora,hrom,tříštění,"Vaše tvořivá činnost je jakoby podkopání působením obyčejných lidí. Vaše stavba nebo postavení se postupně bortí. Čas pro vás není příhodný a je nutné vyhnout se jakomukoliv ráznému činu. Musíte zůstat neústupní jako hora a zpevňovat si základy Není dobré vydávat se na cestu. Příležitost pro malé, těžké chvíle pro šlechetné."
24,"788888",země,hrom,návrat,"Vše se podřizuje věčnému a plynoucímu koloběhu života. Je to největšší přirozený zákon. Právě jste prožili těžké chvíle, ale kolo se točí dál a přináší s sebou příhodné změny. Je dobré vědět,  kam půjdete.  Vyskytují se  příležitosti umožňující znovunabytí ztracených výhod a především dosažení nových začátků. Návraty mají svůj řád. Jednejte s důvěrou, ale bez urychlování věcí. Pohyb a klid."
25,"788777",nebe,hrom,nevinnost,"Upřímnost a bezúhonnost. Nevinnost je stavem člověka, který právě přišel na svět. Ještě se nesetkal s žádným záporným vlivem, nezná ctižádost, faleš a závist. Jedná bezprostředně, v souladu s nebem, aniž by v sobě živil zvláštní naději, tak získává štěstí. Nebo jinak, když dodržíte pravidla a vytrváte - naděje na úspěch.<br> Tento hexagram, přizpůsobený individuálním situacím říká, že musíte jednat v duchu své hluboké přirozenosti a omezit v této chvíli své úmysly. Je to dobré a šťastné znamení, pokud se vyvarujete nesprávných kroků."
26,"777887",hora,nebe,božská moc,"Velký, namáhavý a zároveň riskantní podnik. Síla, jež zná své meze, ale přesto míří vpřed. Velké věci vyžadují spojení trořivé síly a pevnosti. Máte tuto moc, a to vám umožňuje dokonalý přehled o všech okolnostech.  Můžete se dokonce pokusit o nebezpečný podnik a bez obav na sebe vzít velkou odpovědnost, neboť je to Boží vůle. Nejíst jen doma přináší štěstí! Je dobré překročit velikou řeku."
27,"788887",hora,hrom,potrava,"Pozorujte, co lidé říkají a  čím se sytí. Potrava vchází otevřenými ústy a z nich vychází slovo. Moudrý člověk je ten, kdo mezi těmito dvěma funkcemi nachází rovnováhu. Jiný význam spočívá v myšlence pozorovat, jakým způsobem někdo jí a jakou potravu si vybírá - tak ho poznáme. Moudrý člověk na svá slova dává pozor, je střídmý v jídle i v pití."
28,"877778",jezero,vítr,převaha velkého,"Převaha velkého je taková, že nosné trámy jsou přetíženy. Existuje nerovnováha mezi tím, co máme podpořit a tím, co můžeme podporovat. Situace je nebezpečná, avšak úspěch je možný, byť kste nedosáhli vnitřní rovnováhy. Také byste měli co nejrychleji najít váchod. Vyjímečná doba vyjímečných opatření a rozhodného jednání. Vašimi spojenci budou klid, rozhodnost a především trpělivost, neboť významné změny vyžadují čas. Osamocený muž stojí bez strachu, ale nestýská si."
29,"878878",voda,voda,propadání,"Opakované nebezpečí - nepoddávejte se! Když jsme v nebezpečí, hrozí, že si na něj zvykneme a že znovu upadneme do ještě většího. Měli byste být jako voda, která teče a obtéká všechny překážky. Neztrácejte odvahu upřímně sledovat svou cestu,  aniž byste se nechali  ohromit nebo zastavit nebezpečím. Vaše  srdce nesmí propadnout  beznaději, ať je nebezpečí jakékoli."
30,"787787",oheň,oheň,oheň,"Oheň je navenek zářivý, ale uvnitř prázdný, nemůže žít bez paliva. Tento hexagram ličí zářivé, ale nesamostatné postavení. Jste obdivováni a stavěni do popředí. Tento úspěch bude trvat, pokud se nevzdálíte od těch, k nimž jste připoutáni ( nebo od těch, kteří jsou připoutáni k vám ).Úspěch závisí na vytrvalosti a mírnosti. Naděje."
31,"887778",jezero,hora,přitažlivost,"V přitažlivosti je stálost.  Předtucha je šťastná. Oznamuje vzájemnou  přitažlivost a  sympatii založenou  na vzájemném doplňování  se,  vyvolávajícím  svazek  a  úspěch. Vzájemná náklonnost. Může jít o nabídku spojení citového nebo pracovního, zasnoubení, žádost o sňatek, sexuální přitažlivost atd. Pod tím se skrývá rada - zůstávejte otevření a vnímaví k dobrým vlivům. Přitažlivost je totiž univerzální vlastností, jež spojuje vše."
32,"877788",hrom,vítr,stálost,"Skutečná stálost není vnější, nýbrž vnitřní. Když chcete vytvořit něco trvaléhoo, je nezbytné to neustále udržovat. Neupadejte do pasti zvyku a rutiny. Tento přístup by byl stejně škodlivý jako ten, který spočívá v neustálé změně směru. Stálost, vytrvalost a pohyb přizpůsobující se změmě okolnosí přispívají ke stálosti. Ušlechtilý muž stojí a nemění své způsoby. Je dobré mít kam jít."
33,"887777",nebe,hora,ústup,"Nepřátelské síly malosti a tajemna jsou na postupu a vy dočasně nemáte žádnou možnost je překonat. V takové situaci moudrost radí stáhnout se k ochraně. Je třeba myslet na ústup. Nejde o porážku, ani o útěk. Jde o ochranné opatření, které umožní uchovat vlastní síly nedotčeny.  Organizovaný ústup, který  zachová možnost návratu. Současně vyloučí jakoukoliv účast na špatných činech. Moudrý muž se vzdaluje malým do dočasného ústraní, bez hněvu, ale důsledně. Tím si uchová volnost a síly."
34,"777788",hrom,nebe,moc velkého,"Vzestup a úspěch pod podmínkou sebeovládání a mravnosti. Jste v období rozšiřování svého vlivu do všech oblastí. Abyste zůstali na cestě spravedlnosti, mírnosti a práva, vyžaduje to trvalou pozornost. Buďte mravní. Moc nesmí být egoisticky zneužívána. Silný je ten, kdo se ovládá. Čím větší moc, tím větší bohatství, tím více nástrah k jejímu zneužití."
35,"888787",oheň,hrom,pokrok,"Zárukou pokroku je věrnost podřízených a přejícnost nadřízených. Obojí je projevem vzájemné důvěry. Jste v období vzniku a růstu vašich skutečných možností. Přízeň mocných. Vaše postavení se stává vynikajícím a přináší značné výhody, neboť zůstáváte všem blízcí."
36,"787888",země,oheň,soumrak,"Slunce zapadlo, nastala tma. Je lépe splynout s ostatními a nesnažit se vyniknout. Jste v neznázích. Buď je celkové postavení temné, nebo jste pod vlivem člověka, jehož duše je plna temnot. Výtky neprospívají, nemůžete obnovit světlo. Předstírejte, že se přizpůsobujete, zachovejte si však vnitřní jas a nenechte se porazit. Tak budete připraveni  na návrat lepších časů. V nebezpečí je někdy lépe skrýt se a nedávat najevo svou vnitřní sílu. V nesnázích je dobré být vytrvalý."
37,"787877",vítr,oheň,rodina,"Základem všech vztahů je rodina. Odtud se vše odvíjí. V rodině, stejně jako v celé lidské společnosti je důležité, aby každý zůstával na svém místě a plnil své povinnosti. V rodině mají muž i žena své přesně určené místo. Žena uvnitř, muž venku. Ten, který má řídit, aby řídil a ten, kdo má poslouchat, aby poslouchal. Z vnitřní jednoty vyrůstá vnější harmonie. To platí také pro řízení společenství i státu. Ctěte a poslouchejte své rodiče."
38,"778787",oheň,jezero,protiklad,"Kde není soulad, tam je odcizení. Nedorozumnění je vyvoláno dvojí vůlí, každá má jiný smysl. Stále se více a více vzdalují. Těžko se na čemkoli shodnou. To znemožňuje společnou činnost a všechno velké podnikání. Nemůže být dosaženo žádného velkého úspěchu. Je lépe se spokojit se skromnou činností."
39,"887878",voda,hora,překážka,"Nepostupujte bezhlavě. Stojíte čelem k překážce, které nyní nelze vzdorovat. Musíte se hned zastavit a přemýšlet. Střízlivě zvážit vlastní omezené síly. Uvědomte si svoje zodpovědnosti. Není to náhoda, že jste v této  situaci sami. Zpytujte své svědomí a hledejte spojence. Neodmítejte pomoc, která je vám nabízena. Až pak můžete konečně vyrazit vpřed."
40,"878788",hrom,voda,osvobození,"Vaše potíže zmizí samy od sebe. Situace se vyjasní. Můžete jednat podle svého. Je-li cesta vpřed  volná, tím rychleji se po ní pusťte. Není-li volná, vraťte se. Pokud si to přejete, znovu najdete ztracenou rovnováhu a rozvoj. Za všech okolností musíte zapomenout na minulost a zlobu. Zůstaňte velkorysí. Moudrý člověk odpouští chyby a přijímá tresty."
41,"778887",hora,jezero,pokles,"Pokles znamená, že je třeba počítat s oběťmi. Není nutné to však brát tragicky. Je nezbytné je ochotně přinášet, aby byly s důvěrou přijímány. V životě je čas na všechno. Důležité je přizpůsobit se. Je vhodné odstranit přebytečné ve prospěch nezbytného. Důležitá je však otázka míry, která nesmí být překročena. A nakonec, když se materiální prostředky zmenšují, je čas rozvinout duševní síly, skromnost, spolupytřičnost, upřímnost a vytrvalost."
42,"788877",vítr,hrom,vzrůst,"Ocitli jste se v okamžiku blahobytu, který nebude mít věčné trvání. Musíte ho využít k podnikání. Udržujte všechno kladné a odstraňujte všechno škodlivé. Neváhejte a využijte tu správnou chvíli. Příznivé znamení pro vážný, možná i riskantní záměr, můžete-li se na sebe dostatečně spolehnout. "
43,"777778",jezero,nebe,průlom,"Neberte nebezpečí na lehkou váhu. Můžete se přidržet dvou vysvětlení. <br>1) Číhá na vás malé, ale zákeřné nebezpečí. Pokud se v postavení vyskytuje jediný špatný prvek, může jej poskvrnit. Musíte být energičtí a rozhodně ho odstranit. Musíte být otevření vůči nadřízeným i podřízeným. Tím si zajistíte podporu.<br>2) Jinak tento hexagram označuje nebezpečí spojené se vším hromaděním. Po něm automaticky následuje rozptýlení. Z toho vyplývá nebezpečí příliš velkého vlastnictví a způsob jednání usilujícího o opětovné získání rovnováhy. Dopřejte jiným a bude přáno i vám. Bez náklonnosti nebe člověk nic nesvede."
44,"877777",nebe,vítr,vyjít naproti,"Je dvojí.1) Musíte být obezřelý při všech setkáních, i když vám nepřipadají nebezpečná. Není radno si brát za manželku silnou ženu. Lépe uděláte, když se jí vyhnete. 2) Někdy je dobré, když slabý jde před silnějším (za podmínky, že jeho jednání bude upřímné a bez postranních myšlenek). Může to mít dobré stránky, když se tak děje bez nečistých úmyslů."
45,"888778",jezero,země,shromáždění,"Každé shromáždění žádá řád, jinak může být nebezpečné. Tento hexagram popisuje shluk lidí v širším smyslu než je rodinné spojení (rodina,37), nebo než je vzájemná pomoc (spojení,8). Použitím pro  jednotlivé situace naznačuje,  že k takovému shromáždění dochází pouze jsou-li splněny tři podmínky:<br>- spojení ke společnému cíly,<br>- přítomnost vůdce a vnitřní soudržnost.<br>Hrozí však také určité nebezpečí. Každý musí hlídat všechny podezřelé prvky, které by mohly do skupiny proniknout a uškodit jí. Ušlechtilý muž ošetřuje zbraně, aby se vyvaroval nečekaného napadení."
46,"877888",země,vítr,stoupání,"Ocitli jste se v postavení, kdy je možný pokrok, neboť zde nejsou překážky. Všechno závisí na vůli a vyší práci. Nemějte obavy. Věštba zároveň  doporučuje, abyste se  případným neúspěchem nenechali ovlivnit  nebo odradit, nýbrž  abyste se snažili dosáhnout vrcholu ""ve vývoji a vzestupu"". Moudrý člověk pomalu, krok za krokem, hromadí drobné úspěchy, až dosáhne velkého štěstí."
47,"878778",jezero,voda,vyčerpání,"Nebezpečí, zkouška vůle a charakteru. Chvíle, v níž převažuje neštěstí. Jste v zajetí nebo područí malých lidí. Vaše zdroje, duševní i hmotné, jsou vyčerpány. Jste obkláčen a tísněn ze všech stran. Už nemáte sílu reagovat a ostatní vám odmítají pomoci. Můžete pouze zůstat věrni svým přesvědčením a cílům. Jdete za svým údělem, i kdyby vás to mělo stát život. Tuto výzvu je třeba přijmout. Možná přece jen přijde štěstí. Vytrvalost."
48,"877878",voda,vítr,studna,"Tento hexagram má významnou filozofickou hodnotu. Vyjadřuje význam a prospěch vzájemné obecné spolupráce. Současně popisuje lidskou  podstatu  v  jejím  nejhlubším  smyslu. Politické, hospodářské, klimatické i kulturní poměry se stále mění, ale člověk ve své podstatě zůstává stejný. Naznačuje, že ten, kdo sám hledá, musí jít do nitra věcí, aniž by se zastavil nebo aniž by se nechal ovlivnit konvencemi či módou. Ve vašem nitru je zdroj vaší síly i smysl vašeho života."
49,"787778",oheň,vítr,převrat,"Rovnováha je velmi citlivá a vratká. Mír je křehký, srážky časté. Věštba hovoří o období přeměn, změn, které je nutné přijmout. Zároveň říká, že úplné přeměny a revoluce jsou nebezpečnými záležitostmi. Podnítit je je nutné jen tehdy, není-li jiné východisko. I v takovém případě je třeba opatrně vybrat chvíli a ujistit se o vnější opoře. Vytrvalostí se dočkáme nápravy, jestliže ke změně přikročíme ve správnou chvíli."
50,"877787",jezero,oheň,kotlík,"Kotlík symbolizuje nejen hojnost potravy, ale také řád. Je nezbytné obnovit přirozený a účelný řád věcí. Obsahuje myšlenku bohaté potravy ve smyslu materiálním i duchovním. S pokorou se obracejte k tomu, co je nad vámi i k tomu, co vás přesahuje. Dodržujte posvátné zákony a obřady, jimiž se obracíte k vyšším věcem. Pak dosáhnete úspěchu."
51,"788788",hrom,hrom,bouře,"Jste  v  postavení,  které  pociťujete  jako  nebezpečné a nepředvídané. Berte to jako varování, buďte opatrní. Všechno je v drásavém pohybu. Obáváte se, že už nic nezvládnete a že budete unášeni jako stéblo ve vichřici. Snažte se zachovat klid a rozvahu. Využijte toto období ke zcela svobodnému jednání. Dávejte si pozor a neudělejte chybu. Tak využijete otřes ve svůj prospšch. Včasná opatření (obavy) vedou k úspěchu."
52,"887887",hora,hora,znehybnění,"Stání je pritikladem pohybu. Skutečný smysl znehybnění musíme chápat vzhledem k pohybu. Pohyb se musí dít ve správné době. Zde je člověk nehybný ze dvou důvodů: buď právě jedná nebo právě něco dokončil a odpočívá. Tento stav je přirozený a nevyvolává žádné předsudky. Je však mnohem obtížnější najít klid srdce a ovládnout své emoce. To je nejvyšší stadium znehybnění."
53,"887877",vítr,hora,rozvoj,"K pevné stavbě je nutné postupovat pomalu a postupně. Všechno žádá své a všechno chce svůj čas. To platí jak pro aktivní život, tak pro mezilidské vztahy. Unáhlený postup není dobrý. Trpělivost vede k příznivému vývoji. Znamená to, že musíte, vzhledem k tomu, co vás znepokojuje, respektovat pravidla a nepostupovat rychle. Dřevo v lesích roste pomalu, ale je pevné. Také člověk si musí postupně pěstovat svůj charakter."
54,"778788",hrom,jezero,nevěsta,"Význam:  Hexagram naznačuje  způsob chování  v mezilidských vztazích, pronikáte-li do ustáleneého kruhu. Jak hledat a najít své správné místo? Nesmíte se snažit nahradit stávající moc nebo zpochybňovat zavedené výsady. Na vaší cestě vás čekají problémy a překážky. Je třeba jednat předvídavě a vytrvale, aniž byste zapoměli na cíl, k němuž jste se upnuli. Plynulým postupem vpřed se člověk nakonec dostane až tam, kam patří."
55,"787788",hrom,oheň,hojnost,"Spravedlnost navozuje dobré vztahy a příznivé ovzduší. Jestliže se čin a pohyb opírají o inteligenci a jasnost, člověk uspěje ve včech podnicích. Pohoda a úspěch. Buďte si ale vědomi, že nic netrvá věčně. Teď se s těmi, které milujete, bez obav radujte ze svého vítězství. Buďte jako slunce v pravé poledne."
56,"887787",oheň,hora,poutník,"Putování není situací vhodnou pro velké dílo. Nese s sebou nejistotu neznámích míst a neznámích lidí. Ať jste si cestování vybrali nebo jste k němu donuceni okolnostmi, musíte respektovat některé zásady:  mít dobré styky, vyhnout  se zastávkám v nebezpečných místech, prikazovat laskavost. Cestování vyžaduje odolnost a vytrvalost. Je možné, že se tento výrok vztahuje k hledání vývoje (vnitřní cesta). Můžete očekávat jen úspěchy v malém. Nejsou podmínky pro velké dílo."
57,"877877",vítr,vítr,vítr,"Vítr proniká vším, působí skrytě, bez zjevného násilý. Proniká do každé skuliny a v tom je jeho síla. Žádná temnota neodolá tomu, kdo se projevuje jasně, bez násilý, kdo si zachová rozhodnost a vytrvalost.  Zároveň  může  potřebovat  pomocl  aktivního a energického člověka. Malý může dosáhnout úspěchu, jen když je vytrvalý nebo když získá podporu silného."
58,"778778",jezero,jezero,radost,"Dvě navzájem spojená jezera znamenají shodu, která se projevuje v radosti, nakažlivé veselosti. Zároveň je to radostný postoj, poskytuje-li štěstí, potřebuje vytrvalost. Ušlechtilý člověk se spojí s přáteli, aby se domluvili. Je to znamení vnitřní síly, sebedůvěry a vnější schopnosti jít vstříct. V osobní rovině vám tento hexagram  naznačuje, ža laskavým  a vládným chováním dosáhnete mnohem víc, než násilým a mocí. Pravda a síla mají být v srdci, zatímco navenek projevujeme něhu a měkkost."
59,"878877",vítr,voda,rozklad,"Tato předzvěst je velmi příznivá. Naznačuje různé způsoby boje proti  odloučení,  dosažení  usmíření.  Jak překonat chvíle nejednoty, uvolnění a rozpadu. Nejdřív je však nezbytné překonat vlastní sobectví. Každé sdružování musí spočívat v porozumění a vytrvalosti. Jen tak se lidé mohou semknout, vydat se na cestu a překonat všechna nebezpečí."
60,"778878",voda,jezero,omezení,"Když se do jezera vlévá další voda, hrozí přelití. To vyžaduje ohrazení. Pořádek je proto vždy tvořen omezeními. Každá nadsázka, v hojnosti i odříkání, je nebezpečná. Proto musíte jednat mírně, prosazovat postupná a rozumná omezení - ani příliš, ani málo. Naděje a prosperita, omezení však v nezměměné podobě nesmí trvat příliš dlouho. Ani v dobách prosperity nepodceňujte opatrnost, ale ani v čase nebezpečí nepropadejte zoufalství, nýbrž ho postupně omezujte."
61,"778877",vítr,jezero,vnitřní pravda,"Porozumění spojené s ušlechtilostí, užitečností a s nepříjemností předsudků dodává tem, kteří tyto vlastnosti mají, velkou moc nad druhými. Jejich  vliv je neomezený.  Pomáhá jim překonávat překážky. Vnitřní dispozice i vnější okolnosti jsou příznivé. Jejich vnitřní síla vyzařuje a osvětluje okolí. Nikdy by ji však neměli využívat pro sebe nebo mít postranní myšlenky. Jen neokázalé oběti jsou opravdové. Je příhodná chvíle k překonání velké řeky."
62,"887788",hrom,hora,převaha malého,"Čas není vhodný na velké činy. Přehnaná sebedůvěra může vést k pádu. Dostali jste se do situace, v níž nemůžete uskutečnit velké věci. Je dobré být vytrvalý a činit malé věci. Hexagram radí, abyste  se podrobili  úkolu a  pozornost věnovali  splnění každodenních povinností. Jakékoliv smělé chování přivolává pád. Nedejte se strhnout a nevznášejte se k výšinám, na které namáte."
63,"787878",voda,oheň,po dokončení,"Na první pohled je všechno v dokonalém pořádku. Blíží se však pokles a únava. Jakmile je totiž pořádek obnoven, úkol dokončen a touhy uspokojeny, vzniká pokušení nechat věcem volný průběh a odpočívat. Takové chování však podněcuje nové potíže. Nepolevujte v pozornosti. Pamatujte na možné komplikace a připravujte se jim čelit. Vytrvalost je užitečná."
64,"878787",oheň,voda,před dokončením,"Je to hexagram o nekonečnosti života. O věčném koloběhu v přírodě. Tato příznivá věštba naznačuje, že na cestě je změna, třebaže situace vypadá ještě zmateně. Bedlivě pozorujte věci kolem sebe. Musíte být zkrátka nápomocni událostem, aby byla vytvořena harmonie. Je zde však také výstraha a napomenutí k opatrnosti, až do konce, jinak vás totiž nebude čekat nic dobrého."